db	species	assembly.accession	assembly.date	assembly.default	assembly.name	genebuild.method	genebuild.version	genebuild.start_date	provider.name	provider.url	species.production_name	species.scientific_name	species.wikipedia_url	species.url	species.display_name	species.taxonomy_id	species.common_name	species.strain	species.species_name	species.species_taxonomy_id
aegilops_tauschii_core_41_94_1	aegilops_tauschii	GCA_000347335.1	2013-04	ASM34733v1	ASM34733v1	Generated from ENA annotation	2013-12-BGI	2014-05-BGI	Beijing Genomics Institute	https://doi.org/10.1038/nature12028	aegilops_tauschii	Aegilops tauschii	http://en.wikipedia.org/wiki/Aegilops_tauschii	Aegilops_tauschii	Aegilops tauschii	37682	Tausch's goatgrass		Aegilops tauschii	37682
amborella_trichopoda_core_41_94_1	amborella_trichopoda	GCA_000471905.1	2013-11	AMTR1.0	AMTR1.0	Generated from ENA annotation	2014-01-AGSP	2013-10-AGD	Amborella Genome Sequencing Project	http://amborella.huck.psu.edu/	amborella_trichopoda	Amborella trichopoda	http://en.wikipedia.org/wiki/Amborella_trichopoda	Amborella_trichopoda	Amborella trichopoda	13333	Amborella		Amborella trichopoda	13333
arabidopsis_lyrata_core_41_94_10	arabidopsis_lyrata	GCA_000004255.1	2010-06	v.1.0	v.1.0	Imported from JGI	2008-12-Araly1.0	2008-12-JGI	Joint Genome Institute	http://genome.jgi.doe.gov/Araly1/Araly1.home.html	arabidopsis_lyrata	Arabidopsis lyrata subsp. lyrata	http://en.wikipedia.org/wiki/Arabidopsis_lyrata	Arabidopsis_lyrata	Arabidopsis lyrata	81972	lyrate rockcress	MN47	Arabidopsis lyrata	59689
arabidopsis_thaliana_core_41_94_11	arabidopsis_thaliana	GCA_000001735.1	2010-09	TAIR10	TAIR10	Imported from Araport	2016-06-Araport11	2016-06-Araport11	The Arabidopsis Information Resource	https://www.araport.org/	arabidopsis_thaliana	Arabidopsis thaliana	http://en.wikipedia.org/wiki/Arabidopsis_thaliana	Arabidopsis_thaliana	Arabidopsis thaliana	3702	thale-cress		Arabidopsis thaliana	3702
beta_vulgaris_core_41_94_2	beta_vulgaris	GCA_000511025.2	2015-07	RefBeet-1.2.2	RefBeet-1.2.2	Generated from ENA annotation	2015-07-ENA	2014-01-ENA	Beta vulgaris Resource	http://www.ebi.ac.uk/ena/data/view/GCA_000511025	beta_vulgaris	Beta vulgaris subsp. vulgaris	http://en.wikipedia.org/wiki/Beta_vulgaris	Beta_vulgaris	Beta vulgaris subsp. vulgaris	3555	sugar beet		Beta vulgaris	161934
brachypodium_distachyon_core_41_94_4	brachypodium_distachyon	GCA_000005505.4	2018-02	Brachypodium_distachyon_v3.0	Brachypodium_distachyon_v3.0	Generated from ENA annotation	2018-01-ENA	2010-02-23	Joint Genome Institute	http://www.ebi.ac.uk/ena/data/view/GCA_000005505	brachypodium_distachyon	Brachypodium distachyon	http://en.wikipedia.org/wiki/Brachypodium_distachyon	Brachypodium_distachyon	Brachypodium distachyon	15368	false brome	Bd21	Brachypodium distachyon	15368
brassica_napus_core_41_94_1	brassica_napus	GCA_000751015.1	2014-09	AST_PRJEB5043_v1	AST_PRJEB5043_v1	Generated from ENA annotation	2015-09-ENA	2007-07-ENA	GSC	http://www.ebi.ac.uk/ena/data/view/GCA_000751015	brassica_napus	Brassica napus	http://en.wikipedia.org/wiki/Brassica_napus	Brassica_napus	Brassica napus	3708	oilseed rape		Brassica napus	3708
brassica_oleracea_core_41_94_1	brassica_oleracea	GCA_000695525.1	2014-05	v2.1	BOL	Generated from ENA annotation	2014-05-ENA	2014-05-CanSeq	CanSeq	http://www.ebi.ac.uk/ena/data/view/GCA_000695525	brassica_oleracea	Brassica oleracea var. oleracea	http://en.wikipedia.org/wiki/Brassica_oleracea	Brassica_oleracea	Brassica oleracea	109376	wild cabbage	TO1000	Brassica oleracea	3712
brassica_rapa_core_41_94_1	brassica_rapa	GCA_000309985.1	2012-11	IVFCAASv1	Brapa_1.0	Imported from IVFCAAS	bra_v1.01_SP2010_01	2012-03-IVFCAAS	Brassica rapa Genome Sequencing Project	http://brassicadb.org/	brassica_rapa	Brassica rapa subsp. pekinensis	http://en.wikipedia.org/wiki/Brassica_rapa	Brassica_rapa	Brassica rapa	51351	bai cai		Brassica rapa	3711
cajanus_cajan_core_41_94_1	cajanus_cajan	GCA_000340665.1	2016-03	C.cajan_V1.0	C.cajan_V1.0	Generated from ENA annotation	2016-04-ENA	2013-02-15	Beijing Genomics Institute	http://www.ebi.ac.uk/ena/data/view/GCA_000340665	cajanus_cajan	Cajanus cajan	http://en.wikipedia.org/wiki/Cajanus_cajan	Cajanus_cajan	Cajanus cajan	3821	pigeon pea		Cajanus cajan	3821
chlamydomonas_reinhardtii_core_41_94_3	chlamydomonas_reinhardtii	GCA_000002595.3	2018-01	Chlamydomonas_reinhardtii_v5.5	Chlamydomonas_reinhardtii_v5.5	Generated from ENA annotation	2018-01-ENA	2018-01-29	Joint Genome Institute	http://www.ebi.ac.uk/ena/data/view/GCA_000002595	chlamydomonas_reinhardtii	Chlamydomonas reinhardtii	http://en.wikipedia.org/wiki/Chlamydomonas_reinhardtii	Chlamydomonas_reinhardtii	Chlamydomonas reinhardtii	3055	Chlamy	CC-503 cw92 mt+	Chlamydomonas reinhardtii	3055
chondrus_crispus_core_41_94_1	chondrus_crispus	GCA_000350225.2	2013-07	ASM35022v2	ASM35022v2	Generated from ENA annotation	2015-09-ENA	2013-03-ENA	Genoscope	http://www.ebi.ac.uk/ena/data/view/GCA_000350225	chondrus_crispus	Chondrus crispus	http://en.wikipedia.org/wiki/Chondrus_crispus	Chondrus_crispus	Chondrus crispus	2769		Stackhouse	Chondrus crispus	2769
corchorus_capsularis_core_41_94_1	corchorus_capsularis	GCA_001974805.1	2017-01	CCACVL1_1.0	CCACVL1_1.0	Generated from ENA annotation	2017-02-ENA	2017-02-EnsemblPlants	Bangladesh Jute Research Institute	http://www.ebi.ac.uk/ena/data/view/GCA_001974805	corchorus_capsularis	Corchorus capsularis	http://en.wikipedia.org/wiki/Corchorus_capsularis	Corchorus_capsularis	Corchorus capsularis	210143			Corchorus capsularis	210143
cucumis_sativus_core_41_94_2	cucumis_sativus	GCA_000004075.2	2014-10	ASM407v2	ASM407v2	Generated from ENA annotation	2014-10-ENA	2014-10-EnsemblPlants	The Cucumber Genome Initiative	http://www.ebi.ac.uk/ena/data/view/GCA_000004075	cucumis_sativus	Cucumis sativus	http://en.wikipedia.org/wiki/Cucumis_sativus	Cucumis_sativus	Cucumis sativus	3659	Cucumber		Cucumis sativus	3659
cyanidioschyzon_merolae_core_41_94_1	cyanidioschyzon_merolae	GCA_000091205.1	2008-11	ASM9120v1	ASM9120v1	Generated from ENA annotation	2008-11-ENA	2003-05-ENA	Cyanidioschyzon merolae Genome Project	http://merolae.biol.s.u-tokyo.ac.jp/	cyanidioschyzon_merolae	Cyanidioschyzon merolae strain 10D	http://en.wikipedia.org/wiki/Cyanidioschyzon_merolae	Cyanidioschyzon_merolae	Cyanidioschyzon merolae	280699	A red algae		Cyanidioschyzon merolae	45157
daucus_carota_core_41_94_1	daucus_carota	GCA_001625215.1	2016-05	ASM162521v1	ASM162521v1	Generated from ENA annotation	2016-06-ENA	2016-04-27	United States Department of Agriculture	http://www.ebi.ac.uk/ena/data/view/GCA_001625215	daucus_carota	Daucus carota subsp. sativus	http://en.wikipedia.org/wiki/Daucus_carota	Daucus_carota	Daucus carota subsp. sativus	79200	Carrot		Daucus carota	4039
dioscorea_rotundata_core_41_94_2	dioscorea_rotundata	GCA_002240015.2	2017-08	TDr96_F1_Pseudo_Chromosome_v1.0	TDr96_F1_Pseudo_Chromosome_v1.0	Generated from ENA annotation	2017-10-ENA	2017-08-09	Iwate Biotechnology Research Center	http://www.ebi.ac.uk/ena/data/view/GCA_002240015	dioscorea_rotundata	Dioscorea rotundata	http://en.wikipedia.org/wiki/Dioscorea_rotundata	Dioscorea_rotundata	Dioscorea rotundata	55577	Yam		Dioscorea rotundata	55577
galdieria_sulphuraria_core_41_94_1	galdieria_sulphuraria	GCA_000341285.1	2013-02	ASM34128v1	ASM34128v1	Generated from ENA annotation	2013-02-ENA	2013-02-ENA	Galdieria sulphuraria Genome Project	http://www.ebi.ac.uk/ena/data/view/GCA_000341285	galdieria_sulphuraria	Galdieria sulphuraria	http://en.wikipedia.org/wiki/Galdieria_sulphuraria	Galdieria_sulphuraria	Galdieria sulphuraria	130081		074W	Galdieria sulphuraria	130081
glycine_max_core_41_94_3	glycine_max	GCA_000004515.3	2015-11	Glycine_max_v2.0	Glycine_max_v2.0	Generated from ENA annotation	2015-11-ENA	2010-01-EnsemblPlants	Joint Genome Institute	http://www.ebi.ac.uk/ena/data/view/GCA_000004515	glycine_max	Glycine max	http://en.wikipedia.org/wiki/Glycine_max	Glycine_max	Glycine max	3847	Soya bean		Glycine max	3847
gossypium_raimondii_core_41_94_1	gossypium_raimondii	GCA_000327365.1	2012-12	Graimondii2_0	Graimondii2_0	Generated from ENA annotation	2017-09-ENA	2013-01-EnsemblPlants	Joint Genome Institute	http://www.ebi.ac.uk/ena/data/view/GCA_000327365	gossypium_raimondii	Gossypium raimondii	http://en.wikipedia.org/wiki/Gossypium_raimondii	Gossypium_raimondii	Gossypium raimondii	29730	Cotton		Gossypium raimondii	29730
helianthus_annuus_core_41_94_1	helianthus_annuus	GCA_002127325.1	2017-05	HanXRQr1.0	HanXRQr1.0	Generated from ENA annotation	2017-09-ENA	2017-05-EnsemblPlants	International Consortium for Sunflower Genomics	http://www.ebi.ac.uk/ena/data/view/GCA_002127325	helianthus_annuus	Helianthus annuus	http://en.wikipedia.org/wiki/Helianthus_annuus	Helianthus_annuus	Helianthus annuus	4232	Sunflower		Helianthus annuus	4232
hordeum_vulgare_core_41_94_3	hordeum_vulgare	tbd	2017-01	Hv_IBSC_PGSB_v2	IBSC v2	Imported from IBSC	IBSC_1.0	2016-05-IBSC_1.0	International Barley Genome Sequencing Consortium	http://www.barleygenome.org.uk/	hordeum_vulgare	Hordeum vulgare	http://en.wikipedia.org/wiki/Hordeum_vulgare	Hordeum_vulgare	Hordeum vulgare	112509	Barley		Hordeum vulgare	4513
leersia_perrieri_core_41_94_14	leersia_perrieri	GCA_000325765.3	2014-03	Lperr_V1.4	Lperr_V1.4	Imported from OGE	2013-09-OGE	2013-09-OGE	Oryza Genome Evolution Project	https://www.nsf.gov/awardsearch/showAward?AWD_ID=1026200	leersia_perrieri	Leersia perrieri	http://en.wikipedia.org/wiki/Leersia_perrieri	Leersia_perrieri	Leersia perrieri	77586	Leersia		Leersia perrieri	77586
lupinus_angustifolius_core_41_94_1	lupinus_angustifolius	GCA_001865875.1	2016-11	LupAngTanjil_v1.0	LupAngTanjil_v1.0	Generated from ENA annotation	2017-07-ENA	2016-11-EnsemblPlants	Commonwealth Scientific and Industrial Research Organisation 	http://www.ebi.ac.uk/ena/data/view/GCA_001865875	lupinus_angustifolius	Lupinus angustifolius	http://en.wikipedia.org/wiki/Lupinus_angustifolius	Lupinus_angustifolius	Lupinus angustifolius	3871			Lupinus angustifolius	3871
manihot_esculenta_core_41_94_1	manihot_esculenta	GCA_001659605.1	2016-06	Manihot_esculenta_v6	Manihot esculenta v6	Generated from ENA annotation	2017-09-ENA	2016-06-EnsemblPlants	Joint Genome Institute	http://www.ebi.ac.uk/ena/data/view/GCA_001659605	manihot_esculenta	Manihot esculenta	http://en.wikipedia.org/wiki/Manihot_esculenta	Manihot_esculenta	Manihot esculenta	3983	Cassava		Manihot esculenta	3983
medicago_truncatula_core_41_94_2	medicago_truncatula	GCA_000219495.2	2014-06	MedtrA17_4.0	MedtrA17_4.0	Generated from ENA annotation	2014-06-ENA	2015-01-IMGAG	Medicago truncatula Consortium	http://www.medicagogenome.org/	medicago_truncatula	Medicago truncatula str. A17	http://en.wikipedia.org/wiki/Medicago_truncatula	Medicago_truncatula	Medicago truncatula	3880	Barrel medic	A17	Medicago truncatula	3880
musa_acuminata_core_41_94_1	musa_acuminata	GCA_000313855.1	2012-11	MA1	ASM31385v1	Imported from CIRAD	2012-08-Cirad	2012-08-Cirad	Genoscope	http://banana-genome-hub.southgreen.fr/	musa_acuminata	Musa acuminata subsp. malaccensis	http://en.wikipedia.org/wiki/Musa_acuminata	Musa_acuminata	Musa acuminata	214687	Banana	DH-Pahang	Musa acuminata	4641
nicotiana_attenuata_core_41_94_1	nicotiana_attenuata	GCA_001879085.1	2016-11	NIATTr2	NIATTr2	Generated from ENA annotation	2017-09-ENA	2016-11-EnsemblPlants	Max Planck Institute for Chemical Ecology	http://www.ebi.ac.uk/ena/data/view/GCA_001879085	nicotiana_attenuata	Nicotiana attenuata str. UT	http://en.wikipedia.org/wiki/Nicotiana_attenuata	Nicotiana_attenuata	Nicotiana attenuata str. UT	49451		UT	Nicotiana attenuata	49451
oryza_barthii_core_41_94_3	oryza_barthii	GCA_000182155.2	2014-03	O.barthii_v1	O.barthii_v1	Imported from OGE	2014-05-OGE	2014-05-OGE	Oryza Genome Evolution Project	https://www.nsf.gov/awardsearch/showAward?AWD_ID=1026200	oryza_barthii	Oryza barthii	http://en.wikipedia.org/wiki/Oryza_barthii	Oryza_barthii	Oryza barthii	65489	African wild rice	IRGC 105608	Oryza barthii	65489
oryza_brachyantha_core_41_94_14	oryza_brachyantha	GCA_000231095.2	2012-01	Oryza_brachyantha.v1.4b	Oryza_brachyantha.v1.4b	Imported from OGE	OGEv1.4	2011-05-OGE	Oryza Genome Evolution Project	https://www.nsf.gov/awardsearch/showAward?AWD_ID=1026200	oryza_brachyantha	Oryza brachyantha	http://en.wikipedia.org/wiki/Oryza_brachyantha	Oryza_brachyantha	Oryza brachyantha	4533			Oryza brachyantha	4533
oryza_glaberrima_core_41_94_2	oryza_glaberrima	GCA_000147395.1	2010-09	AGI1.1	Oryza_glaberrima_V1	Imported from MIPS	2011-05-AGI	2011-05-AGI	Oryza Genome Evolution Project	http://www2.genome.arizona.edu/genomes/rice_glab_genome_announce	oryza_glaberrima	Oryza glaberrima	http://en.wikipedia.org/wiki/Oryza_glaberrima	Oryza_glaberrima	Oryza glaberrima	4538	African rice	CG14	Oryza glaberrima	4538
