db	species	assembly.accession	assembly.name	assembly.default	assembly.date	assembly.description	genebuild.method	genebuild.version	provider.name	provider.url	species.production_name	species.url	species.scientific_name	species.display_name	species.db_name	species.taxonomy_id	species.species_name	species.species_taxonomy_id
aegilops_tauschii_core_39_92_1	aegilops_tauschii	GCA_000347335.1	ASM34733v1	ASM34733v1	2013-12	Aegilops tauschii Genome sequencing	Generated from ENA annotation	2013-12-BGI	BGI	http://gigadb.org/dataset/100054	aegilops_tauschii	Aegilops_tauschii	Aegilops tauschii	Aegilops tauschii		37682	Aegilops tauschii	37682
amborella_trichopoda_core_39_92_1	amborella_trichopoda	GCA_000471905.1	AMTR1.0	AMTR1.0	2014-01	Amborella trichopoda Genome sequencing	Generated from ENA annotation	2014-01-AGD	Amborella Genome Database	http://amborella.huck.psu.edu/	amborella_trichopoda	Amborella_trichopoda	Amborella trichopoda	Amborella trichopoda		13333	Amborella trichopoda	13333
arabidopsis_lyrata_core_39_92_10	arabidopsis_lyrata	GCA_000004255.1	v.1.0	v.1.0	2008-12		Imported from JGI-Phytozome	2008-12-Araly1.0	JGI	http://genome.jgi.doe.gov/Araly1/Araly1.home.html	arabidopsis_lyrata	Arabidopsis_lyrata	Arabidopsis lyrata subsp. lyrata	Arabidopsis lyrata		81972	Arabidopsis lyrata	59689
arabidopsis_thaliana_core_39_92_11	arabidopsis_thaliana	GCA_000001735.1	TAIR10	TAIR10	2010-09		Imported from Araport	2016-06-Araport11	Araport	https://www.araport.org/	arabidopsis_thaliana	Arabidopsis_thaliana	Arabidopsis thaliana	Arabidopsis thaliana		3702	Arabidopsis thaliana	3702
beta_vulgaris_core_39_92_2	beta_vulgaris	GCA_000511025.2	RefBeet-1.2.2	RefBeet-1.2.2	2015-07	Genome sequencing of beet and spinach for comparative analysis	Generated from ENA annotation	2015-07-ENA	European Nucleotide Archive	http://www.ebi.ac.uk/ena/data/view/GCA_000511025	beta_vulgaris	Beta_vulgaris	Beta vulgaris subsp. vulgaris	Beta vulgaris subsp. vulgaris	beta_vulgaris	3555	Beta vulgaris	161934
brachypodium_distachyon_core_39_92_12	brachypodium_distachyon	GCA_000005505.1	v1.0	v1.0	2009-01		Imported from JGI-Phytozome	2010-02-Brachy1.2	Brachypodium.org	http://brachypodium.org	brachypodium_distachyon	Brachypodium_distachyon	Brachypodium distachyon	Brachypodium distachyon		15368	Brachypodium distachyon	15368
brassica_napus_core_39_92_1	brassica_napus	GCA_000751015.1	AST_PRJEB5043_v1	AST_PRJEB5043_v1	2015-09	Sequencing of the highly-duplicated and recent polyploid Brassica napus genome	Generated from ENA annotation	2015-09-ENA	European Nucleotide Archive	http://www.ebi.ac.uk/ena/data/view/GCA_000751015	brassica_napus	Brassica_napus	Brassica napus	Brassica napus	brassica_napus	3708	Brassica napus	3708
brassica_oleracea_core_39_92_1	brassica_oleracea	GCA_000695525.1	v2.1	v2.1	2014-05		import	v2.1	European Nucleotide Archive	http://www.ebi.ac.uk/ena/data/view/GCA_000695525	brassica_oleracea	Brassica_oleracea	Brassica oleracea var. oleracea	Brassica oleracea		109376	Brassica oleracea	3712
brassica_rapa_core_39_92_1	brassica_rapa	GCA_000309985.1	IVFCAASv1	IVFCAASv1	2009-08		Imported from IVFCAAS by BrassEnsembl	bra_v1.01_SP2010_01	Brassica database (BRAD)	http://brassicadb.org/	brassica_rapa	Brassica_rapa	Brassica rapa subsp. pekinensis	Brassica rapa		51351	Brassica rapa	3711
chlamydomonas_reinhardtii_core_39_92_1	chlamydomonas_reinhardtii	GCA_000002595.2	v3.1	v3.1	2007-11		Generated from ENA and UniProtKB annotation	2007-11-ENA	JGI	http://genome.jgi.doe.gov/Chlre4/Chlre4.home.html	chlamydomonas_reinhardtii	Chlamydomonas_reinhardtii	Chlamydomonas reinhardtii	Chlamydomonas reinhardtii		3055	Chlamydomonas reinhardtii	3055
