db	species	assembly.accession	assembly.default	assembly.date	assembly.name	assembly.description	assembly.master_accession	genebuild.method	provider.name	genebuild.version	provider.url	species.production_name	species.db_name	species.wikipedia_name	species.wikipedia_url	species.url	species.display_name	species.scientific_name	species.taxonomy_id	species.common_name	species.strain	species.species_name	species.species_taxonomy_id
aegilops_tauschii_core_41_94_1	aegilops_tauschii	GCA_000347335.1	ASM34733v1	2013-04	ASM34733v1			Generated from ENA annotation	Beijing Genomics Institute	2013-12-BGI	https://doi.org/10.1038/nature12028	aegilops_tauschii			http://en.wikipedia.org/wiki/Aegilops_tauschii	Aegilops_tauschii	Aegilops tauschii	Aegilops tauschii	37682	Tausch's goatgrass		Aegilops tauschii	37682
amborella_trichopoda_core_41_94_1	amborella_trichopoda	GCA_000471905.1	AMTR1.0	2013-11	AMTR1.0			Generated from ENA annotation	Amborella Genome Sequencing Project	2014-01-AGSP	http://amborella.huck.psu.edu/	amborella_trichopoda			http://en.wikipedia.org/wiki/Amborella_trichopoda	Amborella_trichopoda	Amborella trichopoda	Amborella trichopoda	13333	Amborella		Amborella trichopoda	13333
arabidopsis_lyrata_core_41_94_10	arabidopsis_lyrata	GCA_000004255.1	v.1.0	2010-06	v.1.0			Imported from JGI	Joint Genome Institute	2008-12-Araly1.0	http://genome.jgi.doe.gov/Araly1/Araly1.home.html	arabidopsis_lyrata			http://en.wikipedia.org/wiki/Arabidopsis_lyrata	Arabidopsis_lyrata	Arabidopsis lyrata	Arabidopsis lyrata subsp. lyrata	81972	lyrate rockcress	MN47	Arabidopsis lyrata	59689
arabidopsis_thaliana_core_41_94_11	arabidopsis_thaliana	GCA_000001735.1	TAIR10	2010-09	TAIR10			Imported from Araport	The Arabidopsis Information Resource	2016-06-Araport11	https://www.araport.org/	arabidopsis_thaliana			http://en.wikipedia.org/wiki/Arabidopsis_thaliana	Arabidopsis_thaliana	Arabidopsis thaliana	Arabidopsis thaliana	3702	thale-cress		Arabidopsis thaliana	3702
beta_vulgaris_core_41_94_2	beta_vulgaris	GCA_000511025.2	RefBeet-1.2.2	2015-07	RefBeet-1.2.2			Generated from ENA annotation	Beta vulgaris Resource	2015-07-ENA	http://www.ebi.ac.uk/ena/data/view/GCA_000511025	beta_vulgaris			http://en.wikipedia.org/wiki/Beta_vulgaris	Beta_vulgaris	Beta vulgaris subsp. vulgaris	Beta vulgaris subsp. vulgaris	3555	sugar beet		Beta vulgaris	161934
brachypodium_distachyon_core_41_94_4	brachypodium_distachyon	GCA_000005505.4	Brachypodium_distachyon_v3.0	2018-02	Brachypodium_distachyon_v3.0			Generated from ENA annotation	Joint Genome Institute	2018-01-ENA	http://www.ebi.ac.uk/ena/data/view/GCA_000005505	brachypodium_distachyon			http://en.wikipedia.org/wiki/Brachypodium_distachyon	Brachypodium_distachyon	Brachypodium distachyon	Brachypodium distachyon	15368	false brome	Bd21	Brachypodium distachyon	15368
brassica_napus_core_41_94_1	brassica_napus	GCA_000751015.1	AST_PRJEB5043_v1	2014-09	AST_PRJEB5043_v1			Generated from ENA annotation	GSC	2015-09-ENA	http://www.ebi.ac.uk/ena/data/view/GCA_000751015	brassica_napus			http://en.wikipedia.org/wiki/Brassica_napus	Brassica_napus	Brassica napus	Brassica napus	3708	oilseed rape		Brassica napus	3708
brassica_oleracea_core_41_94_1	brassica_oleracea	GCA_000695525.1	v2.1	2014-05	BOL			Generated from ENA annotation	CanSeq	2014-05-ENA	http://www.ebi.ac.uk/ena/data/view/GCA_000695525	brassica_oleracea			http://en.wikipedia.org/wiki/Brassica_oleracea	Brassica_oleracea	Brassica oleracea	Brassica oleracea var. oleracea	109376	wild cabbage	TO1000	Brassica oleracea	3712
brassica_rapa_core_41_94_1	brassica_rapa	GCA_000309985.1	IVFCAASv1	2012-11	Brapa_1.0			Imported from IVFCAAS	Brassica rapa Genome Sequencing Project	bra_v1.01_SP2010_01	http://brassicadb.org/	brassica_rapa			http://en.wikipedia.org/wiki/Brassica_rapa	Brassica_rapa	Brassica rapa	Brassica rapa subsp. pekinensis	51351	bai cai		Brassica rapa	3711
cajanus_cajan_core_41_94_1	cajanus_cajan	GCA_000340665.1	C.cajan_V1.0	2016-03	C.cajan_V1.0			Generated from ENA annotation	Beijing Genomics Institute	2016-04-ENA	http://www.ebi.ac.uk/ena/data/view/GCA_000340665	cajanus_cajan			http://en.wikipedia.org/wiki/Cajanus_cajan	Cajanus_cajan	Cajanus cajan	Cajanus cajan	3821	pigeon pea		Cajanus cajan	3821
chlamydomonas_reinhardtii_core_41_94_3	chlamydomonas_reinhardtii	GCA_000002595.3	Chlamydomonas_reinhardtii_v5.5	2018-01	Chlamydomonas_reinhardtii_v5.5			Generated from ENA annotation	Joint Genome Institute	2018-01-ENA	http://www.ebi.ac.uk/ena/data/view/GCA_000002595	chlamydomonas_reinhardtii			http://en.wikipedia.org/wiki/Chlamydomonas_reinhardtii	Chlamydomonas_reinhardtii	Chlamydomonas reinhardtii	Chlamydomonas reinhardtii	3055	Chlamy	CC-503 cw92 mt+	Chlamydomonas reinhardtii	3055
chondrus_crispus_core_41_94_1	chondrus_crispus	GCA_000350225.2	ASM35022v2	2013-07	ASM35022v2			Generated from ENA annotation	Genoscope	2015-09-ENA	http://www.ebi.ac.uk/ena/data/view/GCA_000350225	chondrus_crispus			http://en.wikipedia.org/wiki/Chondrus_crispus	Chondrus_crispus	Chondrus crispus	Chondrus crispus	2769		Stackhouse	Chondrus crispus	2769
corchorus_capsularis_core_41_94_1	corchorus_capsularis	GCA_001974805.1	CCACVL1_1.0	2017-01	CCACVL1_1.0			Generated from ENA annotation	Bangladesh Jute Research Institute	2017-02-ENA	http://www.ebi.ac.uk/ena/data/view/GCA_001974805	corchorus_capsularis			http://en.wikipedia.org/wiki/Corchorus_capsularis	Corchorus_capsularis	Corchorus capsularis	Corchorus capsularis	210143			Corchorus capsularis	210143
cucumis_sativus_core_41_94_2	cucumis_sativus	GCA_000004075.2	ASM407v2	2014-10	ASM407v2			Generated from ENA annotation	The Cucumber Genome Initiative	2014-10-ENA	http://www.ebi.ac.uk/ena/data/view/GCA_000004075	cucumis_sativus			http://en.wikipedia.org/wiki/Cucumis_sativus	Cucumis_sativus	Cucumis sativus	Cucumis sativus	3659	Cucumber		Cucumis sativus	3659
cyanidioschyzon_merolae_core_41_94_1	cyanidioschyzon_merolae	GCA_000091205.1	ASM9120v1	2008-11	ASM9120v1			Generated from ENA annotation	Cyanidioschyzon merolae Genome Project	2008-11-ENA	http://merolae.biol.s.u-tokyo.ac.jp/	cyanidioschyzon_merolae			http://en.wikipedia.org/wiki/Cyanidioschyzon_merolae	Cyanidioschyzon_merolae	Cyanidioschyzon merolae	Cyanidioschyzon merolae strain 10D	280699	A red algae		Cyanidioschyzon merolae	45157
daucus_carota_core_41_94_1	daucus_carota	GCA_001625215.1	ASM162521v1	2016-05	ASM162521v1			Generated from ENA annotation	United States Department of Agriculture	2016-06-ENA	http://www.ebi.ac.uk/ena/data/view/GCA_001625215	daucus_carota			http://en.wikipedia.org/wiki/Daucus_carota	Daucus_carota	Daucus carota subsp. sativus	Daucus carota subsp. sativus	79200	Carrot		Daucus carota	4039
dioscorea_rotundata_core_41_94_2	dioscorea_rotundata	GCA_002240015.2	TDr96_F1_Pseudo_Chromosome_v1.0	2017-08	TDr96_F1_Pseudo_Chromosome_v1.0			Generated from ENA annotation	Iwate Biotechnology Research Center	2017-10-ENA	http://www.ebi.ac.uk/ena/data/view/GCA_002240015	dioscorea_rotundata			http://en.wikipedia.org/wiki/Dioscorea_rotundata	Dioscorea_rotundata	Dioscorea rotundata	Dioscorea rotundata	55577	Yam		Dioscorea rotundata	55577
galdieria_sulphuraria_core_41_94_1	galdieria_sulphuraria	GCA_000341285.1	ASM34128v1	2013-02	ASM34128v1			Generated from ENA annotation	Galdieria sulphuraria Genome Project	2013-02-ENA	http://www.ebi.ac.uk/ena/data/view/GCA_000341285	galdieria_sulphuraria			http://en.wikipedia.org/wiki/Galdieria_sulphuraria	Galdieria_sulphuraria	Galdieria sulphuraria	Galdieria sulphuraria	130081		074W	Galdieria sulphuraria	130081
glycine_max_core_41_94_3	glycine_max	GCA_000004515.3	Glycine_max_v2.0	2015-11	Glycine_max_v2.0			Generated from ENA annotation	Joint Genome Institute	2015-11-ENA	http://www.ebi.ac.uk/ena/data/view/GCA_000004515	glycine_max			http://en.wikipedia.org/wiki/Glycine_max	Glycine_max	Glycine max	Glycine max	3847	Soya bean		Glycine max	3847
gossypium_raimondii_core_41_94_1	gossypium_raimondii	GCA_000327365.1	Graimondii2_0	2012-12	Graimondii2_0			Generated from ENA annotation	Joint Genome Institute	2017-09-ENA	http://www.ebi.ac.uk/ena/data/view/GCA_000327365	gossypium_raimondii			http://en.wikipedia.org/wiki/Gossypium_raimondii	Gossypium_raimondii	Gossypium raimondii	Gossypium raimondii	29730	Cotton		Gossypium raimondii	29730
helianthus_annuus_core_41_94_1	helianthus_annuus	GCA_002127325.1	HanXRQr1.0	2017-05	HanXRQr1.0			Generated from ENA annotation	International Consortium for Sunflower Genomics	2017-09-ENA	http://www.ebi.ac.uk/ena/data/view/GCA_002127325	helianthus_annuus			http://en.wikipedia.org/wiki/Helianthus_annuus	Helianthus_annuus	Helianthus annuus	Helianthus annuus	4232	Sunflower		Helianthus annuus	4232
hordeum_vulgare_core_41_94_3	hordeum_vulgare	tbd	Hv_IBSC_PGSB_v2	2017-01	IBSC v2			Imported from IBSC	International Barley Genome Sequencing Consortium	IBSC_1.0	http://www.barleygenome.org.uk/	hordeum_vulgare			http://en.wikipedia.org/wiki/Hordeum_vulgare	Hordeum_vulgare	Hordeum vulgare	Hordeum vulgare	112509	Barley		Hordeum vulgare	4513
