db	species	provider.name	provider.url	genebuild.method	genebuild.start_date	genebuild.last_geneset_update	genebuild.version	assembly.date	assembly.default	assembly.name	assembly.accession	species.url	species.alias
aegilops_tauschii_core_36_89_1	aegilops_tauschii	BGI	http://gigadb.org/dataset/100054	Generated from ENA annotation	2014-05-BGI	2013-12	2013-12-BGI	2013-12	ASM34733v1	ASM34733v1	GCA_000347335.1	Aegilops_tauschii	Triticum aegilops, Patropyrum tauschii, Triticum aegilops P.Beauv. ex Roem. & Schult., Patropyrum tauschii (Coss.) A.Love, Aegilops tauschii, Aegilops squarrosa subsp. squarrosa, 70688, Triticum tauschii (Coss.) Schmalh., Aegilops tauschii Coss., Aegilops squarrosa auct., non L., 4482, Aegilops squarrosa, aegilops_tauschii, 40669, Patropyrum tauschii subsp. tauschii, Triticum tauschii, Tausch's goatgrass
amborella_trichopoda_core_36_89_1	amborella_trichopoda	Amborella Genome Database	http://www.amborella.org/	Generated from ENA annotation	2013-10-AGD	2014-01	2014-01-AGD	2014-01	AMTR1.0	AMTR1.0	GCA_000471905.1	Amborella_trichopoda	Amborella trichopoda Baill., Amborella trichopoda, amborella_trichopoda
arabidopsis_lyrata_core_36_89_10	arabidopsis_lyrata	JGI	http://genome.jgi.doe.gov/Araly1/Araly1.info.html	Imported from JGI-Phytozome	2008-12-JGI	2008-12	2008-12-Araly1.0	2008-12	v.1.0	v.1.0	GCA_000004255.1	Arabidopsis_lyrata	lyrate rockcress, alyrata, al, Arabidopsis lyrata, Arabidopsis lyrata subsp. lyrata
arabidopsis_thaliana_core_36_89_11	arabidopsis_thaliana	TAIR	http://www.arabidopsis.org/	Imported from TAIR	2010-09-TAIR	2010-09	2016-06-Araport11	2010-09	TAIR10	TAIR10	GCA_000001735.1	Arabidopsis_thaliana	thale cress, arabidopsis, athaliana, at, Arabidopsis thaliana
beta_vulgaris_core_36_89_2	beta_vulgaris	European Nucleotide Archive	http://www.ebi.ac.uk/ena/data/view/GCA_000511025	Generated from ENA annotation	2014-01-EnsemblPlants	2015-07	2015-07-ENA	2015-07	RefBeet-1.2.2	RefBeet-1.2.2	GCA_000511025.2	Beta_vulgaris	Beta vulgaris subsp. vulgaris var. altissima, Swiss chard, Beta vulgaris var. altissima Doell., Beta vulgaris cv. Saccharifera, 161933, table beet, field beet, beta_vulgaris, Beta vulgaris Sugar Beet Group, spinach chard, Beta vulgaris var. saccharifera, sugar beet, Beta vulgaris var. altissima, garden beet, Beta vulgaris subsp. vulgaris, 3556, Beta vulgaris cv. Saccharifera Alef.
brachypodium_distachyon_core_36_89_12	brachypodium_distachyon	Brachypodium.org	http://brachypodium.org	Imported from JGI-Phytozome	2010-02-JGI		2010-02-Brachy1.2	2009-01	v1.0	v1.0	GCA_000005505.1	Brachypodium_distachyon	Brachypodium distachyon
brassica_napus_core_36_89_1	brassica_napus	European Nucleotide Archive	http://www.ebi.ac.uk/ena/data/view/GCA_000751015	Generated from ENA annotation	2007-07-EnsemblPlants	2015-09	2015-09-ENA	2015-09	AST_PRJEB5043_v1	AST_PRJEB5043_v1	GCA_000751015.1	Brassica_napus	Brassica napus, brassica_napus, Brassica napus L., rape, 36503, rapeseeds, oilseed rape
brassica_oleracea_core_36_89_1	brassica_oleracea	CanSeq		import	2014-05-CanSeq	2014-05	v2.1	2014-05	v2.1	v2.1	GCA_000695525.1	Brassica_oleracea	
brassica_rapa_core_36_89_1	brassica_rapa	IVFCAAS	http://brassicadb.org/brad/	Imported from IVFCAAS by BrassEnsembl	2012-03-IVFCAAS	2012-05	bra_v1.01_SP2010_01	2009-08	IVFCAASv1	IVFCAASv1	GCA_000309985.1	Brassica_rapa	br, chinese cabbage, 51351, Brassica rapa
chlamydomonas_reinhardtii_core_36_89_1	chlamydomonas_reinhardtii	JGI	http://www.jgi.doe.gov/chlamy	Generated from ENA and UniProtKB annotation	2012-11-JGI	2012-11	2007-11-ENA	2007-11	v3.1	v3.1	GCA_000002595.2	Chlamydomonas_reinhardtii	Chlamydomonas smithii R.W.Howshaw & H.Ettl, chlamydomonas_reinhardtii, Chlamydomonas reinhardtii P.A.Dangeard, Chlamydomonas reinhardtii, Chlamydomonas smithii, 61248, Chlamydomonas reinhardtii strain CC-1373, 3058, Chlamydomonas reihhardtii, green algae
chondrus_crispus_core_36_89_1	chondrus_crispus	European Nucleotide Archive	http://www.ebi.ac.uk/ena/data/view/GCA_000350225	Generated from ENA annotation	2013-03-ENA	2015-09	2015-09-ENA	2015-09	ASM35022v2	ASM35022v2	GCA_000350225.2	Chondrus_crispus	carragheen, Irish moss, Chondrus crispus, carageen, carrageen, chondrus_crispus, Chondrus crispus str. Stackhouse str. PCG
cyanidioschyzon_merolae_core_36_89_1	cyanidioschyzon_merolae	Cyanidioschyzon merolae Genome Project	http://merolae.biol.s.u-tokyo.ac.jp/	Generated from ENA and UniProtKB annotation	2003-05-ENA	2008-11	2008-11-ENA	2008-11	ASM9120v1	ASM9120v1	GCA_000091205.1	Cyanidioschyzon_merolae	cyanidioschyzon_merolae, Cyanidioschyzon merolae, Cyanidioschyzon merolae strain 10D, 45157, red algae
