db	species	provider.name	provider.url	genebuild.method	genebuild.start_date	genebuild.last_geneset_update	genebuild.version	assembly.date	assembly.default	assembly.name	assembly.accession
aegilops_tauschii_core_30_83_1	aegilops_tauschii	BGI	http://gigadb.org/dataset/100054	Generated from ENA annotation	2014-05-BGI	2013-12	2013-12-BGI	2013-12	GCA_000347335.1	ASM34733v1	GCA_000347335.1
amborella_trichopoda_core_30_83_1	amborella_trichopoda	Amborella Genome Database	http://www.amborella.org/	Generated from ENA annotation	2013-10-AGD	2014-01	2014-01-AGD	2014-01	GCA_000471905.1	AMTR1.0	GCA_000471905.1
arabidopsis_lyrata_core_30_83_10	arabidopsis_lyrata	JGI	http://genome.jgi-psf.org/Araly1/Araly1.info.html	Imported from JGI-Phytozome	2008-12-JGI	2008-12	2008-12-Araly1.0	2008-12	v.1.0	v.1.0	GCA_000004255.1
arabidopsis_thaliana_core_30_83_10	arabidopsis_thaliana	TAIR	http://www.arabidopsis.org/	Imported from TAIR	2010-09-TAIR	2010-09	2010-09-TAIR10	2010-09	TAIR10	TAIR10	GCA_000001735.1
brachypodium_distachyon_core_30_83_12	brachypodium_distachyon	Brachypodium.org	http://brachypodium.org	Imported from JGI-Phytozome	2010-02-JGI		2010-02-Brachy1.2	2009-01	v1.0	v1.0	GCA_000005505.1
brassica_oleracea_core_30_83_1	brassica_oleracea	CanSeq		import	2014-05-CanSeq	2014-05	v2.1		v2.1	v2.1	GCA_000695525.1
brassica_rapa_core_30_83_1	brassica_rapa	IVFCAAS	http://brassicadb.org/brad/	Imported from IVFCAAS by BrassEnsembl	2012-03-IVFCAAS	2012-05	bra_v1.01_SP2010_01	2009-08	IVFCAASv1	IVFCAASv1	GCA_000309985.1
chlamydomonas_reinhardtii_core_30_83_1	chlamydomonas_reinhardtii	JGI	http://www.jgi.doe.gov/chlamy	Generated from ENA and UniProtKB annotation	2012-11-JGI	2012-11	2007-11-ENA	2007-11	v3.1	v3.1	GCA_000002595.2
cyanidioschyzon_merolae_core_30_83_1	cyanidioschyzon_merolae	Cyanidioschyzon merolae Genome Project	http://merolae.biol.s.u-tokyo.ac.jp/	Generated from ENA and UniProtKB annotation	2003-05-ENA	2008-11	2008-11-ENA	2008-11	ASM9120v1	ASM9120v1	GCA_000091205.1
glycine_max_core_30_83_1	glycine_max	JGI	http://www.phytozome.net/soybean	Imported from JGI-Phytozome	2012-07-JGI		JGI-Glyma-1.1	2010-01	V1.0	V1.0	GCA_000004515.1
hordeum_vulgare_core_30_83_2	hordeum_vulgare	IBSC	http://barleygenome.org	import	2014-05-IBSC_1.0		IBSC_1.0	2012-03	082214v1	082214v1	GCA_000326085.1
leersia_perrieri_core_30_83_14	leersia_perrieri	OGE	http://preview.iplantcollaborative.org/de/?type=data	Imported from OGE MAKER annotation	2013-09-OGE		2013-09-OGE	2014-03	Lperr_V1.4	Lperr_V1.4	GCA_000325765.3
medicago_truncatula_core_30_83_2	medicago_truncatula	IMGAG	http://jcvi.org/medicago/index.php	Generated from ENA annotation	2015-01-IMGAG	2014-06	2014-06-EnsemblPlants	2014-06	GCA_000219495.2	MedtrA17_4.0	GCA_000219495.2
musa_acuminata_core_30_83_1	musa_acuminata	CIRAD	http://banana-genome.cirad.fr/	import	2012-08-Cirad	2012-08	2012-08-Cirad	2012-08	MA1	MA1	GCA_000313855.1
oryza_barthii_core_30_83_3	oryza_barthii	OGE	http://preview.iplantcollaborative.org/de/?type=data	Imported from OGE MAKER annotation	2014-05-OGE		2014-05-OGE	2014-04	ABRL00000000	Obart_v1.0	GCA_000182155.2
oryza_brachyantha_core_30_83_14	oryza_brachyantha	OGE	http://www.omap.org/index.html	Imported from OGE	2011-05-OGE		OGEv1.4	2011-05	Oryza_brachyantha.v1.4b	Oryza_brachyantha.v1.4b	GCA_000231095.2
oryza_glaberrima_core_30_83_2	oryza_glaberrima	AGI	http://www2.genome.arizona.edu/genomes/rice_glab_genome_announce	Imported from MIPS	2011-05-AGI		2011-05-AGI	2011-05	AGI1.1	AGI1.1	GCA_000147395.1
oryza_glumaepatula_core_30_83_15	oryza_glumaepatula	OGE	http://preview.iplantcollaborative.org/de/?type=data	Imported from OGE MAKER annotation 	2013-09-OGE		2013-09	2013-08	ALNU02000000	ALNU02000000	GCA_000576495.1
oryza_indica_core_30_83_2	oryza_indica	RIS	http://rice.genomics.org.cn	Imported from BGI	2010-07-BGI	2010-07	2010-07-BGI	2005-01	ASM465v1	ASM465v1	GCA_000004655.2
oryza_longistaminata_core_30_83_2	oryza_longistaminata	BGI			2015-05-OGE				GCA_000789195.1	O_longistaminata_v1.0	GCA_000789195.1
oryza_meridionalis_core_30_83_13	oryza_meridionalis	OGE	http://www.omap.org/	Imported from OGE MAKER annotation 	2014-10-OGE		2014-10-MAKER	2014-10-OGE	Oryza_meridionalis_v1.3	Oryza_meridionalis_v1.3	GCA_000338895.2
oryza_nivara_core_30_83_10	oryza_nivara	OGE	http://preview.iplantcollaborative.org/de/?type=data	Imported from OGE MAKER annotation 	2013-09-OGE		2013-09	2013-08	AWHD00000000	AWHD00000000	GCA_000576065.1
